scheme,fold,held_out,model,n_val_cells,auc,auprc,f1,accuracy
5foldCV,1.0,,scMeta-original,117854,0.7094638819213501,0.5634550535562812,0.6702266236235508,0.6541568381217439
5foldCV,1.0,,MLP,117854,0.7166756433225214,0.5653370511032713,0.6271858793558366,0.6523155769002325
5foldCV,2.0,,scMeta-original,103041,0.7640880019807352,0.5524633256257161,0.6589352379558074,0.6834755097485467
5foldCV,2.0,,MLP,103041,0.7699044233497114,0.5496061550691597,0.6224841623021033,0.6929086480138974
5foldCV,3.0,,scMeta-original,61625,0.736024579566206,0.6306863958135277,0.602756052141527,0.653841784989858
5foldCV,3.0,,MLP,61625,0.7240975526451242,0.6051538579559398,0.5869746352239037,0.6541176470588236
5foldCV,4.0,,scMeta-original,79236,0.8547213693138394,0.5772576419422263,0.6224793037571641,0.7306527336059367
5foldCV,4.0,,MLP,79236,0.8413080073393465,0.5429485723576843,0.6215413222305314,0.7636806502095007
5foldCV,5.0,,scMeta-original,81536,0.8661451333940122,0.5890998267902001,0.6079257799835399,0.807189462323391
5foldCV,5.0,,MLP,81536,0.8583072892445356,0.5652020376396496,0.5874560554338412,0.8013883437990581
LOCO,,Breast Cancer,scMeta-original,104477,0.7154024796529166,0.1142003173095135,0.1752754366033448,0.7012261071814849
LOCO,,Breast Cancer,MLP,104477,0.7186521779332955,0.0994603904063251,0.1854092834298556,0.8195966576375662
LOCO,,Colorectal Cancer,scMeta-original,28114,,,0.0,0.7769083019136374
LOCO,,Colorectal Cancer,MLP,28114,,,0.0,0.87572028171018
LOCO,,Lung Cancer,scMeta-original,94473,0.7577223178346374,0.4520228028667601,0.4335232570185434,0.7105945614090798
LOCO,,Lung Cancer,MLP,94473,0.7721873875876049,0.4519541516771965,0.4737234018548187,0.753125231547638
LOCO,,Ovarian Cancer,scMeta-original,216228,0.4607484005780584,0.5666092806655968,0.5804478840897933,0.4980714801043343
LOCO,,Ovarian Cancer,MLP,216228,0.4621354604715205,0.5718227131453911,0.4889546193407413,0.4678395027471003
5foldCV,1.0,,scMeta-graphloss,117854,0.7005739192033746,0.5865655218901846,0.675961332558353,0.6404873826938415
5foldCV,2.0,,scMeta-graphloss,103041,0.7824901338020612,0.5606319729456144,0.6966246400260504,0.7106685688221194
5foldCV,3.0,,scMeta-graphloss,61625,0.7401102297482731,0.630483141280594,0.5853471259464648,0.6845273833671399
5foldCV,4.0,,scMeta-graphloss,79236,0.8683271763026412,0.6052617146634194,0.6035354767364329,0.6923241960724923
5foldCV,5.0,,scMeta-graphloss,81536,0.8858505918218451,0.5566187604404724,0.6917904544255955,0.8279778257456829
LOCO,,Breast Cancer,scMeta-graphloss,104477,0.8457083104145766,0.2023331390026865,0.2431633407243163,0.7255663926031567
LOCO,,Colorectal Cancer,scMeta-graphloss,28114,,,0.0,0.8883830120224799
LOCO,,Lung Cancer,scMeta-graphloss,94473,0.8010468482031272,0.4996540733124712,0.4391897857912303,0.6638510473892012
LOCO,,Ovarian Cancer,scMeta-graphloss,216228,0.487766324076566,0.5981958678915974,0.5280650556351969,0.4884381301219083
