Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_PANCREAS_BETA_CELLS,7.312808e-01,1.380563e+00,7.258938e-02,6.564925e-01,4.870000e-01,4/7,16.34%,INSM1;ABCC8;PAX6;DPP4
prerank,HALLMARK_ANGIOGENESIS,5.837576e-01,1.286298e+00,8.517034e-02,9.914770e-01,8.870000e-01,12/28,22.29%,CCND2;VCAN;VTN;CXCL6;POSTN;MSX1;OLR1;PF4;S100A4;COL3A1;LPL;STC1
prerank,HALLMARK_KRAS_SIGNALING_UP,5.340581e-01,1.253383e+00,2.100000e-02,9.568234e-01,9.600000e-01,40/103,23.37%,ADAMDEC1;CCND2;ETV1;RBP4;LCP1;PPBP;IL33;ABCB1;HSD11B1;F13A1;CCL20;TLR8;ADGRA2;MMP10;IGF2;CMKLR1;ANGPTL4;ITGB2;HDAC9;SPON1;GADD45G;PTPRR;MMP11;LY96;APOD;ITGBL1;DOCK2;ADAM8;IGFBP3;MYCN;F2RL1;SPRY2;SEMA3B;FGF9;PRDM1;ARG1;CLEC4A;MMP9;TNFRSF1B;SCN1B
prerank,HALLMARK_ALLOGRAFT_REJECTION,5.257008e-01,1.248005e+00,4.000000e-03,7.650256e-01,9.670000e-01,71/149,31.86%,NOS2;CCL13;GZMB;CCND2;CXCL13;CXCL9;CCL11;CCR5;IL2;CRTAM;IFNG;CCL7;IL10;IL6;CCL19;CCL4;CD28;CD247;ELANE;FGR;ITGB2;CCR1;HDAC9;CD1D;ICAM1;IRF4;PF4;PRKCB;PRF1;CD7;ACHE;GPR65;NLRP3;IL2RB;TLR2;IL11;CD80;CD3G;SOCS1;CCR2;TRAT1;IL12RB1;FASLG;NPM1;MMP9;GZMA;ITGAL;KLRD1;CD86;GCNT1;WAS;CFP;IL16;PRKCG;NCF4;LY86;TIMP1;TLR6;F2R;LTB;IFNAR2;HIF1A;PTPN6;CD47;CD3D;TAP1;CD8B;BCL3;NCR1;TLR1;IL18RAP
prerank,HALLMARK_APICAL_SURFACE,5.396017e-01,1.178427e+00,2.042042e-01,1.000000e+00,1.000000e+00,9/26,19.06%,GATA3;PKHD1;CD160;LYPD3;EFNA5;MDGA1;IL2RB;SHROOM2;CX3CL1
prerank,HALLMARK_KRAS_SIGNALING_DN,5.194948e-01,1.176113e+00,1.280000e-01,1.000000e+00,1.000000e+00,14/47,17.16%,COL2A1;TCL1A;IFNG;PKP1;GDNF;ZBTB16;EGF;IL5;NPHS1;LYPD3;TENM2;KRT5;SERPINB2;CD80
prerank,HALLMARK_INFLAMMATORY_RESPONSE,4.943062e-01,1.171900e+00,5.100000e-02,9.469224e-01,1.000000e+00,59/141,29.89%,CSF3;AQP9;FFAR2;CXCL9;CCR7;PIK3R5;CCL7;APLNR;CXCL6;IL10;LTA;IL6;ADGRE1;CCL20;TACR1;SERPINE1;PDPN;TNFAIP6;CMKLR1;OLR1;CD69;FZD5;ITGB3;IFITM1;ICAM1;GPC3;TNFRSF9;SELL;PTGER4;CCL17;SPHK1;MET;NLRP3;IL2RB;TLR2;ICAM4;CD48;EBI3;C5AR1;CX3CL1;CD70;SELE;P2RX7;TNFRSF1B;SCN1B;CXCL8;IL1R1;SCARF1;GPR183;TIMP1;ITGB8;LY6E;CLEC5A;ACVR1B;PVR;HIF1A;CYBB;LAMP3;CDKN1A
prerank,HALLMARK_APICAL_JUNCTION,4.681856e-01,1.113757e+00,1.190000e-01,1.000000e+00,1.000000e+00,42/147,22.80%,CDH8;CLDN14;ACTG2;ACTN2;COL17A1;VCAN;ACTN3;JAM3;NLGN3;CDH4;VCAM1;CDH15;MDK;LAMA3;ACTA1;CLDN11;TGFBI;CADM2;ALOX15B;ICAM1;PPP2R2C;RHOF;MAPK11;ICAM2;ADAM23;CDH3;ACTB;DSC1;ICAM4;NRXN2;SHROOM2;CX3CL1;TNFRSF11B;RRAS;CLDN9;SORBS3;PFN1;CD274;VWF;IKBKG;SIRPA;MMP9
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,4.810527e-01,1.110770e+00,1.960000e-01,1.000000e+00,1.000000e+00,23/74,23.12%,CXCL13;CXCL9;PIK3R5;CCL7;PLA2G2A;ITGA4;IL6;CCR1;IL17RB;ITGB3;SOCS3;PF4;HMOX1;CD44;TNFRSF12A;TLR2;SOCS1;A2M;EBI3;CXCL1;IL12RB1;PDGFC;TNFRSF1B
prerank,HALLMARK_COAGULATION,4.796695e-01,1.110441e+00,1.970000e-01,1.000000e+00,1.000000e+00,22/75,22.80%,FGA;MASP2;FGG;C8G;COMP;SERPINE1;MMP8;MMP10;OLR1;APOA1;MMP11;ITGB3;PF4;MMP7;SERPINB2;C1QA;DPP4;A2M;CLU;VWF;LEFTY2;MMP9
