Cluster,Method,Confident_Cells,GSEA_NES,GSEA_FDR
7,scMeta_Differential,628,0.7515565,1.0
15,scMeta_Differential,1763,1.131026,0.5215236
17,scMeta_Differential,401,1.109929,0.4296604
21,scMeta_Differential,156,1.256419,0.297529
24,scMeta_Differential,7887,1.70588,0.02152872
25,scMeta_Differential,7393,0.7711361,0.9228257
26,scMeta_Differential,12271,-1.377574,0.4076829
27,scMeta_Differential,5059,-0.9063225,0.8680014
28,scMeta_Differential,4632,1.037116,0.7412252
29,scMeta_Differential,22,1.362983,0.3204044
30,scMeta_Differential,1690,0.8468474,1.0
32,scMeta_Differential,1173,0.8703461,1.0
33,scMeta_Differential,1900,0.7190162,1.0
39,scMeta_Differential,1136,0.8978711,0.9715651
46,scMeta_Differential,4739,1.200037,0.5323147
47,scMeta_Differential,2352,0.8492033,0.9640737
48,scMeta_Differential,1726,1.0768,0.6489926
49,scMeta_Differential,2295,0.5824326,1.0
52,scMeta_Differential,1650,1.182963,0.5991925
55,scMeta_Differential,47,1.059585,0.7967765
56,scMeta_Differential,3067,1.598059,0.03638569
57,scMeta_Differential,7756,0.9755171,0.9416052
58,scMeta_Differential,4117,1.296707,1.0
60,scMeta_Differential,3139,0.9574885,0.901644
61,scMeta_Differential,953,0.9945981,0.7938383
62,scMeta_Differential,1724,-1.428625,0.2835087
63,scMeta_Differential,2328,1.144912,0.6227655
64,scMeta_Differential,6962,0.9937877,1.0
65,scMeta_Differential,3538,0.772124,0.9970403
66,scMeta_Differential,5213,1.174822,0.735781
67,scMeta_Differential,10988,1.142503,1.0
68,scMeta_Differential,2717,0.8929923,0.9127064
70,scMeta_Differential,3068,1.140298,0.530992
71,scMeta_Differential,1564,1.194801,0.5550086
72,scMeta_Differential,1702,0.9547175,0.85077
74,scMeta_Differential,3775,0.9877497,1.0
75,scMeta_Differential,1869,-1.269092,0.4194955
76,scMeta_Differential,594,0.6329039,1.0
77,scMeta_Differential,1702,0.9570918,1.0
78,scMeta_Differential,4114,1.23843,0.5228078
79,scMeta_Differential,2644,1.174409,0.7774458
80,scMeta_Differential,41,-0.9164069,0.8149898
81,scMeta_Differential,4020,-1.151638,0.5172166
82,scMeta_Differential,4393,0.9240405,0.8776971
83,scMeta_Differential,9164,-1.478613,0.2764252
