auc,auprc,f1,accuracy,n_val_cells,scheme,fold,held_out,model
0.7094638819213501,0.5634550535562812,0.6702266236235508,0.6541568381217439,117854,5foldCV,1.0,,scMeta
0.7166756433225214,0.5653370511032713,0.6271858793558366,0.6523155769002325,117854,5foldCV,1.0,,MLP
0.7640880019807352,0.5524633256257161,0.6589352379558074,0.6834755097485467,103041,5foldCV,2.0,,scMeta
0.7699044233497114,0.5496061550691597,0.6224841623021033,0.6929086480138974,103041,5foldCV,2.0,,MLP
0.736024579566206,0.6306863958135277,0.602756052141527,0.653841784989858,61625,5foldCV,3.0,,scMeta
0.7240975526451242,0.6051538579559398,0.5869746352239037,0.6541176470588236,61625,5foldCV,3.0,,MLP
0.8547213693138394,0.5772576419422263,0.6224793037571641,0.7306527336059367,79236,5foldCV,4.0,,scMeta
0.8413080073393465,0.5429485723576843,0.6215413222305314,0.7636806502095007,79236,5foldCV,4.0,,MLP
0.8661451333940122,0.5890998267902001,0.6079257799835399,0.807189462323391,81536,5foldCV,5.0,,scMeta
0.8583072892445356,0.5652020376396496,0.5874560554338412,0.8013883437990581,81536,5foldCV,5.0,,MLP
0.7154024796529166,0.1142003173095135,0.1752754366033448,0.7012261071814849,104477,LOCO,,Breast Cancer,scMeta
0.7186521779332955,0.0994603904063251,0.1854092834298556,0.8195966576375662,104477,LOCO,,Breast Cancer,MLP
,,0.0,0.7769083019136374,28114,LOCO,,Colorectal Cancer,scMeta
,,0.0,0.87572028171018,28114,LOCO,,Colorectal Cancer,MLP
0.7577223178346374,0.45202280286676016,0.43352325701854344,0.7105945614090798,94473,LOCO,,Lung Cancer,scMeta
0.7721873875876049,0.45195415167719655,0.4737234018548187,0.753125231547638,94473,LOCO,,Lung Cancer,MLP
0.46074840057805844,0.5666092806655968,0.5804478840897933,0.49807148010433433,216228,LOCO,,Ovarian Cancer,scMeta
0.46213546047152054,0.5718227131453911,0.48895461934074136,0.4678395027471003,216228,LOCO,,Ovarian Cancer,MLP
