accuracy,f1,auroc,auprc,n_patients,n_pos_patients,n_neg_patients,n_heterogeneous_patients,model,scheme,split,n_val_cells,hyperparams
1.0,1.0,,,8,0,8,0,Random Forest,LOOCV,Lambrechts_Thienpont_2018,6789,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,10,0,10,0,SGD,LOOCV,Chen_Zhang_2020,10429,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.9411764705882352,0.9696969696969696,,,17,0,17,0,scMeta-SAGE,LOOCV,UKIM-V,5882,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.6666666666666666,0.568421052631579,0.2888888888888889,0.380912415471239,24,9,15,0,scMeta-GAT,LOOCV,Kim_Lee_2020,7783,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,8,0,8,0,Elastic Net,LOOCV,2096-Lungcancer,10596,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,5,0,5,0,Logistic Regression,LOOCV,He_Fan_2021,4684,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.25,0.4,,,4,0,4,0,scMeta-GAT,LOOCV,GSE173682,4333,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,5,0,5,0,scMeta-GAT,LOOCV,He_Fan_2021,4684,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,20,0,20,0,scMeta-GAT,LOOCV,Wu_etal_2021_BRCA,22380,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,15,0,15,0,scMeta-SAGE,LOOCV,GSE132465,9363,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.796875,0.7659795992274263,0.7601809954751132,0.6024038461538461,64,13,51,8,SGD,5foldCV,fold3,80570,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.25,0.4,,,4,0,4,0,scMeta-SAGE,LOOCV,GSE173682,4333,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.5714285714285714,0.4155844155844156,0.9166666666666666,0.9166666666666664,7,3,4,2,scMeta-SAGE,LOOCV,Maynard_Bivona_2020,944,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,6,0,6,0,scMeta-GAT,LOOCV,Zilionis_Klein_2019,1924,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.2,0.0666666666666666,1.0,1.0,5,4,1,1,Elastic Net,LOOCV,2100-Ovariancancer,12994,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.7916666666666666,0.764957264957265,0.8055555555555556,0.6499999999999999,24,6,18,2,scMeta-GAT,LOOCV,HTAN_MSK_SCLC,38217,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.7777777777777778,0.875,,,9,0,9,0,scMeta-SAGE,LOOCV,Laughney_Massague_2020,1390,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,5,0,5,0,Elastic Net,LOOCV,GSE225857,9877,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.873015873015873,0.873015873015873,0.920754716981132,0.7598268398268397,63,10,53,6,scMeta-SAGE,5foldCV,fold5,73366,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.4,0.2285714285714285,1.0,1.0,5,3,2,0,Elastic Net,LOOCV,Multi_modal_breast_cancer,6867,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.828125,0.83512101210121,0.8557692307692307,0.5232520873583303,64,12,52,11,scMeta-Tran,5foldCV,fold2,102484,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,7,0,7,0,Random Forest,LOOCV,Goveia_Carmeliet_2020,1470,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.3170731707317073,0.2402439024390243,0.4051282051282052,0.5949107145784621,41,26,15,31,scMeta-GAT,LOOCV,MSK_SPECTRUM,198901,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,8,0,8,0,scMeta-GAT,LOOCV,Lambrechts_Thienpont_2018,6789,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.828125,0.8386015325670498,0.8573717948717949,0.5516255271901034,64,12,52,11,scMeta-SAGE,5foldCV,fold2,102484,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.2,0.0666666666666666,1.0,1.0,5,4,1,1,Random Forest,LOOCV,2100-Ovariancancer,12994,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.5714285714285714,0.4155844155844156,0.7083333333333334,0.6984126984126984,7,3,4,2,Logistic Regression,LOOCV,Maynard_Bivona_2020,944,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,10,0,10,0,Random Forest,LOOCV,Chen_Zhang_2020,10429,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,15,0,15,0,Elastic Net,LOOCV,GSE132465,9363,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,12,0,12,0,scMeta-Tran,LOOCV,2102-Breastcancer,13604,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.7916666666666666,0.7299651567944251,0.6851851851851852,0.5299043062200957,24,6,18,2,SGD,LOOCV,HTAN_MSK_SCLC,38217,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,12,0,12,0,scMeta-GAT,LOOCV,2102-Breastcancer,13604,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.375,0.2045454545454545,0.6000000000000001,0.6683333333333333,8,5,3,7,SGD,LOOCV,GSE167036,1036,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.6,0.5666666666666667,1.0,1.0,5,3,2,0,scMeta-Tran,LOOCV,Multi_modal_breast_cancer,6867,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,15,0,15,0,Logistic Regression,LOOCV,GSE132465,9363,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,5,0,5,0,scMeta-Tran,LOOCV,GSE225857,9877,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.8823529411764706,0.9375,,,17,0,17,0,Elastic Net,LOOCV,UKIM-V,5882,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.9,0.9473684210526316,,,20,0,20,0,Elastic Net,LOOCV,Wu_etal_2021_BRCA,22380,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.9047619047619048,0.8869047619047619,0.8358490566037735,0.6888888888888888,63,10,53,6,SGD,5foldCV,fold5,73366,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.875,0.875,0.7828525641025642,0.5422143057559724,64,12,52,11,Elastic Net,5foldCV,fold2,102484,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,7,0,7,0,Logistic Regression,LOOCV,Goveia_Carmeliet_2020,1470,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.4,0.2285714285714285,1.0,1.0,5,3,2,0,SGD,LOOCV,Multi_modal_breast_cancer,6867,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.6666666666666666,0.568421052631579,0.4185185185185185,0.4127594627594628,24,9,15,0,Elastic Net,LOOCV,Kim_Lee_2020,7783,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.84375,0.8364898989898989,0.8296296296296297,0.52135101010101,64,10,54,10,Random Forest,5foldCV,fold1,113629,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.4,0.2285714285714285,1.0,1.0,5,3,2,0,Logistic Regression,LOOCV,Multi_modal_breast_cancer,6867,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.9655172413793104,0.9824561403508772,,,29,0,29,0,scMeta-GAT,LOOCV,Leader_Merad_2021,4365,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,5,0,5,0,scMeta-GAT,LOOCV,GSE225857,9877,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,42,0,42,0,SGD,LOOCV,Single_cell_map_anti-PD1,60590,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,15,0,15,0,Random Forest,LOOCV,GSE132465,9363,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,5,0,5,0,Random Forest,LOOCV,He_Fan_2021,4684,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.6666666666666666,0.8,,,9,0,9,0,scMeta-GAT,LOOCV,Laughney_Massague_2020,1390,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,8,0,8,0,scMeta-SAGE,LOOCV,2096-Lungcancer,10596,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,6,0,6,0,Logistic Regression,LOOCV,Zilionis_Klein_2019,1924,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,7,0,7,0,Logistic Regression,LOOCV,2098-Colorectalcancer,8874,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,7,0,7,0,scMeta-GAT,LOOCV,Goveia_Carmeliet_2020,1470,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.8235294117647058,0.9032258064516128,,,17,0,17,0,SGD,LOOCV,UKIM-V,5882,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.5714285714285714,0.4155844155844156,0.7083333333333334,0.6984126984126984,7,3,4,2,Elastic Net,LOOCV,Maynard_Bivona_2020,944,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,5,0,5,0,scMeta-Tran,LOOCV,He_Fan_2021,4684,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,7,0,7,0,scMeta-GAT,LOOCV,2098-Colorectalcancer,8874,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.9655172413793104,0.9824561403508772,,,29,0,29,0,scMeta-SAGE,LOOCV,Leader_Merad_2021,4365,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.4,0.4,1.0,1.0,5,4,1,1,scMeta-Tran,LOOCV,2100-Ovariancancer,12994,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.8125,0.7776515151515152,0.7571644042232277,0.4659649378399378,64,13,51,8,Random Forest,5foldCV,fold3,80570,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.25,0.4,,,4,0,4,0,scMeta-Tran,LOOCV,GSE173682,4333,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.375,0.2045454545454545,0.6333333333333333,0.8083333333333333,8,5,3,7,Elastic Net,LOOCV,GSE167036,1036,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,6,0,6,0,SGD,LOOCV,Zilionis_Klein_2019,1924,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,20,0,20,0,Random Forest,LOOCV,Wu_etal_2021_BRCA,22380,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,5,0,5,0,Logistic Regression,LOOCV,GSE225857,9877,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,42,0,42,0,Elastic Net,LOOCV,Single_cell_map_anti-PD1,60590,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.5853658536585366,0.4682926829268293,0.3692307692307692,0.5465562826929427,41,26,15,31,scMeta-SAGE,LOOCV,MSK_SPECTRUM,198901,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.84375,0.8381217838765009,0.8076923076923076,0.5451808608058608,64,12,52,11,Random Forest,5foldCV,fold2,102484,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.6666666666666666,0.568421052631579,0.3555555555555555,0.3952138547726783,24,9,15,0,SGD,LOOCV,Kim_Lee_2020,7783,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.5714285714285714,0.4155844155844156,0.9166666666666666,0.9166666666666664,7,3,4,2,scMeta-Tran,LOOCV,Maynard_Bivona_2020,944,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,6,0,6,0,scMeta-SAGE,LOOCV,Zilionis_Klein_2019,1924,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.5714285714285714,0.4155844155844156,0.8333333333333333,0.8095238095238095,7,3,4,2,SGD,LOOCV,Maynard_Bivona_2020,944,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.859375,0.8650990099009901,0.8653846153846154,0.6295444109031066,64,12,52,11,scMeta-GAT,5foldCV,fold2,102484,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.9,0.9473684210526316,,,20,0,20,0,SGD,LOOCV,Wu_etal_2021_BRCA,22380,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,5,0,5,0,SGD,LOOCV,He_Fan_2021,4684,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,29,0,29,0,Random Forest,LOOCV,Leader_Merad_2021,4365,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,42,0,42,0,scMeta-SAGE,LOOCV,Single_cell_map_anti-PD1,60590,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.875,0.875,0.8101851851851852,0.4699900793650794,64,10,54,10,scMeta-GAT,5foldCV,fold1,113629,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,6,0,6,0,Elastic Net,LOOCV,Zilionis_Klein_2019,1924,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.3658536585365853,0.195993031358885,0.408974358974359,0.624452746544679,41,26,15,31,Random Forest,LOOCV,MSK_SPECTRUM,198901,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,42,0,42,0,Random Forest,LOOCV,Single_cell_map_anti-PD1,60590,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.6666666666666666,0.6666666666666666,0.787037037037037,0.5471861471861472,24,6,18,2,scMeta-Tran,LOOCV,HTAN_MSK_SCLC,38217,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.25,0.4,,,4,0,4,0,Random Forest,LOOCV,GSE173682,4333,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.890625,0.8882484307098021,0.8472222222222222,0.5292330586080586,64,10,54,10,scMeta-SAGE,5foldCV,fold1,113629,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
