Model,Protocol,n_splits_total,accuracy_summary,accuracy_n_defined,f1_summary,f1_n_defined,auroc_summary,auroc_n_defined,auprc_summary,auprc_n_defined
Random Forest,5foldCV,5,0.846 ± 0.027,5,0.826 ± 0.032,5,0.820 ± 0.041,5,0.568 ± 0.105,5
Logistic Regression,5foldCV,5,0.846 ± 0.045,5,0.831 ± 0.053,5,0.797 ± 0.036,5,0.571 ± 0.079,5
SGD,5foldCV,5,0.849 ± 0.041,5,0.836 ± 0.047,5,0.800 ± 0.033,5,0.575 ± 0.073,5
Elastic Net,5foldCV,5,0.846 ± 0.045,5,0.831 ± 0.053,5,0.797 ± 0.038,5,0.573 ± 0.086,5
scMeta-GAT,5foldCV,5,0.852 ± 0.025,5,0.853 ± 0.026,5,0.823 ± 0.051,5,0.582 ± 0.121,5
scMeta-SAGE,5foldCV,5,0.846 ± 0.034,5,0.842 ± 0.040,5,0.879 ± 0.043,5,0.637 ± 0.100,5
scMeta-Tran,5foldCV,5,0.852 ± 0.032,5,0.849 ± 0.034,5,0.886 ± 0.034,5,0.634 ± 0.097,5
Random Forest,LOOCV,23,0.796 ± 0.289,23,0.761 ± 0.340,23,0.631 ± 0.205,7,0.653 ± 0.194,7
Logistic Regression,LOOCV,23,0.788 ± 0.285,23,0.769 ± 0.324,23,0.654 ± 0.265,7,0.690 ± 0.245,7
SGD,LOOCV,23,0.790 ± 0.279,23,0.772 ± 0.318,23,0.690 ± 0.272,7,0.706 ± 0.238,7
Elastic Net,LOOCV,23,0.785 ± 0.284,23,0.768 ± 0.323,23,0.659 ± 0.264,7,0.698 ± 0.250,7
scMeta-GAT,LOOCV,23,0.777 ± 0.285,23,0.760 ± 0.327,23,0.690 ± 0.290,7,0.720 ± 0.251,7
scMeta-SAGE,LOOCV,23,0.804 ± 0.274,23,0.777 ± 0.319,23,0.781 ± 0.246,7,0.776 ± 0.237,7
scMeta-Tran,LOOCV,23,0.815 ± 0.247,23,0.811 ± 0.263,23,0.792 ± 0.219,7,0.796 ± 0.197,7
